"UTC","species","call","DriftName"
2021-08-26 22:00:00,"Bm","B","ADRIFT_001"
2021-08-26 22:00:00,"Bm","A","ADRIFT_001"
2021-08-26 23:00:00,"Bm","B","ADRIFT_001"
2021-08-27,"Bm","B","ADRIFT_001"
2021-08-27,"Bm","A","ADRIFT_001"
2021-08-27 01:00:00,"Bm","A","ADRIFT_001"
2021-08-27 01:00:00,"Bm","B","ADRIFT_001"
2021-08-27 02:00:00,"Bm","B","ADRIFT_001"
2021-08-27 02:00:00,"Bm","A","ADRIFT_001"
2021-08-27 03:00:00,"Bm","A","ADRIFT_001"
2021-08-27 03:00:00,"Bm","B","ADRIFT_001"
2021-08-27 04:00:00,"Bm","A","ADRIFT_001"
2021-08-27 04:00:00,"Bm","B","ADRIFT_001"
2021-08-27 05:00:00,"Bm","A","ADRIFT_001"
2021-08-27 06:00:00,"Bm","A","ADRIFT_001"
2021-08-27 06:00:00,"Bm","B","ADRIFT_001"
2021-08-27 07:00:00,"Bm","B","ADRIFT_001"
2021-08-27 07:00:00,"Bm","A","ADRIFT_001"
2021-08-27 08:00:00,"Bm","A","ADRIFT_001"
2021-08-27 08:00:00,"Bm","B","ADRIFT_001"
2021-08-27 09:00:00,"Bm","A","ADRIFT_001"
2021-08-27 09:00:00,"Bm","B","ADRIFT_001"
2021-08-27 10:00:00,"Bm","A","ADRIFT_001"
2021-08-27 10:00:00,"Bm","B","ADRIFT_001"
2021-08-27 11:00:00,"Bm","A","ADRIFT_001"
2021-08-27 11:00:00,"Bm","B","ADRIFT_001"
2021-08-27 12:00:00,"Bm","A","ADRIFT_001"
2021-08-27 12:00:00,"Bm","B","ADRIFT_001"
2021-08-27 13:00:00,"Bm","B","ADRIFT_001"
2021-08-27 13:00:00,"Bm","A","ADRIFT_001"
2021-08-27 14:00:00,"Bm","A","ADRIFT_001"
2021-08-27 14:00:00,"Bm","B","ADRIFT_001"
2021-08-27 15:00:00,"Bm","A","ADRIFT_001"
2021-08-27 15:00:00,"Bm","B","ADRIFT_001"
2021-08-27 16:00:00,"Bm","A","ADRIFT_001"
2021-08-27 16:00:00,"Bm","B","ADRIFT_001"
2021-08-28 06:00:00,"Bm","A","ADRIFT_001"
2021-08-28 06:00:00,"Bm","B","ADRIFT_001"
2021-08-28 07:00:00,"Bm","B","ADRIFT_001"
2021-08-28 07:00:00,"Bm","A","ADRIFT_001"
2021-08-28 08:00:00,"Bm","B","ADRIFT_001"
2021-08-28 09:00:00,"Bm","A","ADRIFT_001"
2021-08-28 09:00:00,"Bm","B","ADRIFT_001"
2021-08-28 10:00:00,"Bm","A","ADRIFT_001"
2021-08-28 10:00:00,"Bm","B","ADRIFT_001"
2021-08-28 11:00:00,"Bm","A","ADRIFT_001"
2021-08-28 11:00:00,"Bm","B","ADRIFT_001"
2021-08-28 12:00:00,"Bm","B","ADRIFT_001"
2021-08-28 12:00:00,"Bm","A","ADRIFT_001"
2021-08-28 13:00:00,"Bm","A","ADRIFT_001"
2021-08-28 13:00:00,"Bm","B","ADRIFT_001"
2021-08-28 14:00:00,"Bm","B","ADRIFT_001"
2021-08-28 14:00:00,"Bm","A","ADRIFT_001"
2021-08-28 15:00:00,"Bm","A","ADRIFT_001"
2021-08-28 15:00:00,"Bm","B","ADRIFT_001"
2021-08-28 16:00:00,"Bm","A","ADRIFT_001"
2021-08-28 16:00:00,"Bm","B","ADRIFT_001"
2021-08-28 17:00:00,"Bm","B","ADRIFT_001"
2021-08-28 22:00:00,"Bm","B","ADRIFT_001"
2021-08-28 23:00:00,"Bm","B","ADRIFT_001"
2021-06-09 20:00:00,"Mn","Song","ADRIFT_002"
2021-06-09 20:00:00,"Pm","Clicks","ADRIFT_002"
2021-06-09 22:00:00,"Pm","Clicks","ADRIFT_002"
2021-06-09 23:00:00,"Pm","Clicks","ADRIFT_002"
2021-06-09 23:00:00,"Mn","Song","ADRIFT_002"
2021-06-10,"Mn","unidentified","ADRIFT_002"
2021-06-10 01:00:00,"NBHF",NA,"ADRIFT_002"
2021-06-10 04:00:00,"Mn","unidentified","ADRIFT_002"
2021-06-10 04:00:00,"Mn","Song","ADRIFT_002"
2021-06-10 04:00:00,"ZC",NA,"ADRIFT_002"
2021-06-10 05:00:00,"ZC",NA,"ADRIFT_002"
2021-06-10 07:00:00,"Bp","20Hz","ADRIFT_002"
2021-06-10 13:00:00,"Lo","Clicks/A","ADRIFT_002"
2021-06-10 16:00:00,"Mn","unidentified","ADRIFT_002"
NA,"Bp","20Hz","ADRIFT_002"
2021-06-11 08:00:00,"ZC",NA,"ADRIFT_002"
2021-06-11 10:00:00,"ZC",NA,"ADRIFT_002"
2021-06-11 11:00:00,"Bm","B","ADRIFT_002"
2021-06-11 12:00:00,"Bm","B","ADRIFT_002"
2021-06-11 12:00:00,"Mn","Song","ADRIFT_002"
2021-06-11 15:00:00,"ZC",NA,"ADRIFT_002"
2021-06-11 18:00:00,"UO","Whistles","ADRIFT_002"
2021-06-11 21:00:00,"ZC",NA,"ADRIFT_002"
2021-06-11 21:00:00,"Lo","Clicks/A","ADRIFT_002"
2021-06-12 02:00:00,"Mn","unidentified","ADRIFT_002"
2021-06-12 03:00:00,"Mn","Song","ADRIFT_002"
2021-06-12 04:00:00,"ZC",NA,"ADRIFT_002"
2021-06-12 04:00:00,"Lo","Clicks/A","ADRIFT_002"
2021-06-12 05:00:00,"ZC",NA,"ADRIFT_002"
2021-06-12 06:00:00,"Lo","Clicks/A","ADRIFT_002"
2021-06-12 10:00:00,"Lo","Clicks/A","ADRIFT_002"
2021-06-12 21:00:00,"NBHF",NA,"ADRIFT_002"
2021-06-12 22:00:00,"NBHF",NA,"ADRIFT_002"
2021-06-13,"Lo","Clicks/A","ADRIFT_002"
2021-06-13 01:00:00,"NBHF",NA,"ADRIFT_002"
2021-06-13 03:00:00,"Mn","unidentified","ADRIFT_002"
